id;adi;yeri;hatlar;point;px;py;weight;is_active;sp_distance;sp_duration;sp_weight
1;20351;Batı Sitesi Mh.1695.Cd.Yenimahalle;290,295;;39.9588;32.6984;0;f;16884.1;1777.3;3630.6
2;11880;Karşıyaka Mh.464.Sk.Gölbaşı;108;;39.7681;32.7444;0;f;34650.1;2350.4;4777.3
3;13205;Kızılay Mh.Mh.Necatibey Cd.Çankaya;512-3,512-4,521-3;;39.9254;32.853;0;f;15238.9;1488.6;2983.4
4;20350;Ergazi Mh.1820.Cd.Yenimahalle;294,296;;39.9593;32.7036;0;f;13591.6;1641.1;3364.2
5;12488;Doğanbey Mh.İstanbul Cd.Altındağ;201-6,369,527-1,527-2,540,540-2,540-6;;39.9381;32.8528;0;f;16598.2;1663.1;3360.1
6;30693;Anayurt Mh.Abdülhakhamit Cd.Mamak;321-6,329;;39.9458;32.9038;5;t;23643.5;2003.2;4036.3
7;31986;Şahintepe Mh.Mh.655/2.Sk.Mamak;341-6,365,367;;39.9222;32.9157;3;t;27880.3;2377.6;4829.8
8;20454;Kentkoop Mh.Başkent Blv.Yenimahalle;201-6,233,235,297-3;;39.9674;32.7286;0;f;14640.1;1707.2;3429.1
9;20410;İlkyerleşim Mh.Başkent Blv.Yenimahalle;201-6,295,298;;39.9687;32.7269;0;f;14327.4;1717.4;3503.4
10;11992;Karaoğlan Mh.Ankara Konya Yolu Gölbaşı;147,149,151,151-2,151-4,151-5,151-6,178,178-3,180;;39.7308;32.8102;0;f;32517.1;2420.1;4869
11;12036;Beynam Köyü Ankara Bala Yolu Bala;178,178-3;;39.6919;32.9298;0;f;48173;3444.5;6919.8
12;30534;Kutlu Mh.İmam Alim Sultan Cd.Mamak;319,375,381,382;;39.9111;32.8936;0;f;19533.7;2186.8;4560.6
13;21440;Atapark Mh.Mh.Aşık Veysel Cd.Keçiören;254,256;;40.0063;32.8477;0;f;24674.1;2387.7;4816.1
14;12307;Yeşilkent Mh.561.Sk.Çankaya;190;;39.861;32.87;0;f;21893.7;2345.9;4806
15;30690;Harman Mh.Abdülhakhamit Cd.Mamak;321-6,329;;39.939;32.9095;0;f;24653.8;2134.1;4301.2
16;10190;Konutkent Mh.2965.Cd.Yenimahalle;587,592-1,593;;39.8781;32.6677;0;f;11693.4;1122.6;2292.3
17;10203;Koru Mh.2629.Cd.Yenimahalle;588,588-1,592-1,593,594,595;;39.8818;32.6721;0;f;11067.2;1032.1;2076.3
18;21559;Gayret Mh.Mh.Aşık Çelebi Sk.Yenimahalle;271;;39.9623;32.8045;0;f;18401.5;1705.5;3435.6
19;12259;Barbaros Mh.Büyükelçi Sk.Çankaya;160,317-3,318,318-6,319;;39.9085;32.8646;0;f;15965.6;1622.5;3285.3
20;30590;Ulubey Mh.Turgut Özal Blv.Altındağ;325,337,369,389;;39.9566;32.8963;0;f;21296.5;1694.7;3398.3
21;30686;Çiğiltepe Mh.Turgut Özal Blv.Mamak;337,344-1,344-2,354,354-3,368,369,389,394,394-3,397,398-3;;39.9513;32.9127;0;f;22813.3;1793.9;3597.4
22;21388;Kanuni Mh.Başkent Cd.Keçiören;255,257;;40.0253;32.8572;0;f;31311.2;2464.9;5030.8
23;51307;-;540,540-6;;39.9669;32.6547;0;f;16545.8;1778.3;3573.7
24;13086;Tulumtaş Mh.Mh. Gölbaşı;194;;39.7564;32.6499;0;f;29014.1;2199.9;4438.3
25;30657;Misket Mh.605.Sk.Mamak;334,334-6,351,353;;39.9315;32.9107;0;f;20958.9;2235.2;4520.6
26;30781;Fahri Korutürk Mh.886.Cd.Mamak;367;;39.9148;32.9261;0;f;28667.7;2313.9;4676
27;10299;Çayyolu Mh.2699.Sk.Yenimahalle;586;;39.878;32.6933;0;f;8055;1147.5;2356.7
28;10310;Koru Mh.Ankaralılar Cd.Yenimahalle;576,587,592-1,593;;39.8839;32.6837;0;f;9745;1043.9;2095.7
29;30863;Feridun Çelik Mh.1652.Cd.Altındağ;393;;39.9694;32.9404;0;f;26891;2342.4;4776.9
30;30891;Dostlar Mh.1436.Sk.Mamak;347-6,349;;39.9251;32.951;0;f;29243.3;2516;5131.3
31;12122;Ayrancı Mh.Hoşdere Cd.Çankaya;173-1,173-4,185-1,185-3,185-6,190;;39.9002;32.8492;0;f;16599;1579.3;3219.4
32;30745;Hacılar Mh.902.Sk.Altındağ;314,392,393,395;;39.9663;32.9119;0;f;23473.7;2003.5;4046.9
33;30741;Battalgazi Mh.Selçuk Cd.Altındağ;312-1,313,320,321,322,335;;39.9614;32.9241;0;f;24886.5;2088.2;4220.3
34;31041;Karapürçek Mh.309.Cd.Altındağ;312,314,320,321,321-6,322,335,345;;39.9654;32.9817;0;f;30259.5;2805.5;5719.5
35;30571;Gülseren Mh.Abdülhakhamit Cd.Mamak;321-6,329;;39.9455;32.8959;0;f;23625.4;2028;4095.9
36;30581;Altınevler Mh.Plevne Cd.Mamak;312,313,314,320,321,321-6,322,322-4,324,329,335,345,354,354-3,368,392,392-6,393,394,394-3,395,397,398-3;;39.9484;32.8959;0;f;23868;2011.2;4085.6
37;20370;Kardelen Mh.2092.Sk.Yenimahalle;299;;39.9799;32.7077;0;f;15559.9;1922;3932.5
38;30787;Şahintepe Mh.291.Cd.Mamak;341-6,365;;39.9139;32.9167;0;f;22404.6;2454.3;5013.5
39;21542;Yayla Mh.Mh.1450.Sk.Keçiören;284,284-6;;39.9919;32.8211;0;f;22709.5;2273.8;4730.8
40;31439;Gökçeyurt Mh.Çocuk Park İçi Yolu Mamak;359,368;;39.9539;33.0402;0;f;39333.2;2948.2;5924.5
41;10637;Üniversiteler Mh.Beytepe Köyü Yolu Çankaya;175;;39.8726;32.7431;0;f;2125.6;359.8;751.7
42;31450;Gökçeyurt Mh.19 Mayıs Blv.Mamak;354,354-3,359,368,394,394-3,397,398-3;;39.9469;33.0402;0;f;38069.9;2792.6;5596.2
43;31789;Kusunlar Mh.Mh. Mamak;334,334-6,344-2;;39.8534;32.9692;0;f;46715.5;3524.1;7110.3
44;20937;-;288,288-2,288-6;;39.9872;32.8444;0;f;21347.5;2059.9;4200.2
45;40129;Varlık Mh.Etlik Cd.Yenimahalle;261,261-6,263,263-2,263-3,263-4,267,267-2,267-4,273,277,278,279,279-2,279-6,281,284,284-6,285,286,288,288-2,288-6;;39.9614;32.8456;0;f;17815.9;1574.2;3155.6
46;31291;Kavaklı Mh.Özgül Sk.Altındağ;315,316,335;;40.0122;33.0484;0;f;46656.8;3688.9;7412.8
47;31316;Karapürçek Mh.Yeşil Kuşak Cd.Altındağ;316,320,321-6;;39.9602;32.9668;0;f;28802.3;2573.8;5185.6
48;31437;Gökçeyurt Mh.Çocuk Park İçi Yolu Mamak;359,368;;39.9593;33.0358;0;f;40026.9;3052.3;6132.5
49;31478;Karşıyaka Mh.Odabaşı Cd.Mamak;354,354-3,394,394-3,397;;39.9669;33.1078;0;f;45677.8;3299.9;6647.5
50;31963;Şahap Gürler Mh.Mh.1229.Sk.Mamak;377;;39.9086;32.9516;0;f;30078.2;2414.5;4902.8
51;32023;Çamlık Mh.Mh.1851.Sk.Altındağ;312;;39.9664;32.9363;0;f;26084.5;2231.7;4540.3
52;40125;Zübeyde Hanım Mh.Turgut Özal Blv.Altındağ;273,369,419,431,445-1,479,484-1;;39.9538;32.8389;0;f;16261.5;1365.6;2737.5
53;40166;Gümüşdere Mh.Keçiören Kvş.Keçiören;369;;39.9593;32.8605;0;f;18220.1;1493.5;2994.7
54;21695;İvedik Mh.Mh.Anadolu Blv.Yenimahalle;227,227-4;;40.0009;32.7727;0;f;19954.5;2217.3;4474.5
55;30449;Aktaş Mh.Serpmeevler Cd.Altındağ;456-1;;39.9467;32.8769;2;t;21713.9;1922.7;3912.6
56;11333;Seğmenler Mh.Beyşehir Gölü Cd.Gölbaşı;107-6,195-1;;39.79;32.8293;2;t;28166.4;2396.9;4869.2
57;10833;Kızılırmak Mh.1427.Cd.Çankaya;132,136,411-3,482-3;;39.8944;32.8074;0;f;12463.8;1249.7;2558.4
58;20935;-;288,288-2,288-6;;39.9886;32.8426;0;f;21620.4;2101.2;4285.7
59;10613;Kızılcaşar Mh.2855.Cd.Gölbaşı;191,191-2,196;;39.8295;32.7503;0;f;9666.9;1312.7;2767.6
60;21810;Atapark Mh.Mh.Baltacılar Cd.Keçiören;252,253,254;;40.0125;32.8507;0;f;24797.9;2410.4;4884.6
61;12213;Devlet Mh.Atatürk Blv.Çankaya;103-1,105-2,105-4,106-2,107-6,191,191-2,192,193,194,195-2,439-1,439-2,439-6,440-1,440-2,474-1,474-2,492-1,492-2,496;;39.9168;32.854;0;f;14963.1;1443.1;2891.9
62;40169;Kavacık Subayevleri Mh.Fahrettin Altay Cd.Keçiören;427-1,427-3,427-6;;39.9656;32.8673;0;f;19697;1652.8;3335.9
63;30600;Ulubey Mh.Altınay Cd.Altındağ;312,313,314,320,321,321-6,322,322-4,335,345,392,392-6,393,395;;39.9583;32.9039;0;f;22239.2;1812.8;3635.4
64;41160;Sirkeli Yeşilyurt Mh.Mh.Kıbrıs Cd.Pursaklar;473;;40.1455;32.8529;6;t;47986.2;4564;9174.4
65;41274;Kösrelikızığı Mh.Mh. Pursaklar;470;;40.1068;32.8756;0;t;43013.5;4002.8;8070.2
66;30902;Tepecik Mh.1484.Cd.Mamak;347,347-6,350;;39.9217;32.9583;0;f;31177.6;2480.2;5006.6
67;21149;Yakacık Mh.3585.Cd.Yenimahalle;215,226,226-2,226-4;;40.0396;32.7658;0;f;23999.8;2742.6;5519.6
68;31148;Yeşilbayır Mh.1772.Sk.Mamak;355,355-4,374-1;;39.9096;32.9616;0;f;30624.8;2387.4;4808.7
69;31164;Küçük Kayaş Mh.Şht.Hanifi Mutlu Cd.Mamak;355,355-4,374-1;;39.9073;32.9707;0;f;31513.1;2547.4;5131.6
70;10167;Alacaatlı Mh.Alacaatlı-Dodurga Yolu Yenimahalle;596,598,598-1;;39.8389;32.6637;0;f;12557.3;1580.3;3231.6
